
GSE5460.tsv 	ALL 	RandomForest 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
GSE5460.tsv 	ALL 	Gradient Boosting 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	ALL 	LogisticRegression 	0.9736842105263157 	0.9744 	1.0000 	0.9474 	0.9730
GSE5460.tsv 	SMOTENN 	RandomForest 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	SMOTENN 	Gradient Boosting 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	SMOTENN 	LogisticRegression 	1.0 	1.0000 	1.0000 	1.0000 	1.0000
GSE5460.tsv 	EEC 	RandomForest 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	EEC 	Gradient Boosting 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	EEC 	LogisticRegression 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	RBC 	RandomForest 	0.9486842105263157 	0.9487 	0.9474 	0.9474 	0.9474
GSE5460.tsv 	RBC 	Gradient Boosting 	0.9486842105263157 	0.9487 	0.9474 	0.9474 	0.9474
GSE5460.tsv 	RBC 	LogisticRegression 	0.9486842105263157 	0.9487 	0.9474 	0.9474 	0.9474
GSE5460.tsv 	BBC 	RandomForest 	0.8973684210526317 	0.8974 	0.8947 	0.8947 	0.8947
GSE5460.tsv 	BBC 	Gradient Boosting 	0.8973684210526317 	0.8974 	0.8947 	0.8947 	0.8947
GSE5460.tsv 	BBC 	LogisticRegression 	0.8973684210526317 	0.8974 	0.8947 	0.8947 	0.8947
GSE5460.tsv 	BRFC 	RandomForest 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	BRFC 	Gradient Boosting 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
GSE5460.tsv 	BRFC 	LogisticRegression 	0.9473684210526316 	0.9487 	1.0000 	0.8947 	0.9444
E_TABM_158.tsv 	ROS 	RandomForest 	0.8596256684491979 	0.8718 	0.8400 	0.9545 	0.8936
E_TABM_158.tsv 	ROS 	Gradient Boosting 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
E_TABM_158.tsv 	ROS 	LogisticRegression 	0.8890374331550802 	0.8974 	0.8750 	0.9545 	0.9130
E_TABM_158.tsv 	SMOTE 	RandomForest 	0.8596256684491979 	0.8718 	0.8400 	0.9545 	0.8936
E_TABM_158.tsv 	SMOTE 	Gradient Boosting 	0.8435828877005347 	0.8462 	0.8636 	0.8636 	0.8636
E_TABM_158.tsv 	SMOTE 	LogisticRegression 	0.8890374331550802 	0.8974 	0.8750 	0.9545 	0.9130
E_TABM_158.tsv 	RUS 	RandomForest 	0.8074866310160427 	0.8205 	0.8000 	0.9091 	0.8511
E_TABM_158.tsv 	RUS 	Gradient Boosting 	0.6029411764705881 	0.5897 	0.6875 	0.5000 	0.5789
E_TABM_158.tsv 	RUS 	LogisticRegression 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
E_TABM_158.tsv 	ENN 	RandomForest 	0.7780748663101603 	0.7949 	0.7692 	0.9091 	0.8333
E_TABM_158.tsv 	ENN 	Gradient Boosting 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
E_TABM_158.tsv 	ENN 	LogisticRegression 	0.820855614973262 	0.8205 	0.8571 	0.8182 	0.8372
E_TABM_158.tsv 	RENN 	RandomForest 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
E_TABM_158.tsv 	RENN 	Gradient Boosting 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
E_TABM_158.tsv 	RENN 	LogisticRegression 	0.8435828877005347 	0.8462 	0.8636 	0.8636 	0.8636
E_TABM_158.tsv 	ALL 	RandomForest 	0.8435828877005347 	0.8462 	0.8636 	0.8636 	0.8636
E_TABM_158.tsv 	ALL 	Gradient Boosting 	0.8663101604278075 	0.8718 	0.8696 	0.9091 	0.8889
